TABLE_NAME COLUMN_NAME DATA_TYPE max_len IS_NULLABLE
USUARIOS perfil int NULL YES
USUARIOS zonas varchar MAX YES
USUARIOS ESTADO int NULL YES
USUARIOS SUPERBONO int NULL YES
USUARIOS empresas varchar 50 YES
VALIDACION_BONO ID_BONO int NULL YES
VALIDACION_BONO VALIDADOR1 int NULL YES
VALIDACION_BONO USER_VALIDADOR1 varchar MAX YES
VALIDACION_BONO VALIDADOR2 int NULL YES
VALIDACION_BONO USER_VALIDADOR2 varchar MAX YES
VALIDACION_BONO ESTADO int NULL YES
VALIDACION_BONO MOTIVO_RECHAZO varchar MAX YES
ZONAS ID_ZONA int NULL YES
ZONAS NOMBRE_ZONA varchar 50 YES
ZONAS monto_asignado int NULL YES
ZONAS DIRECCION varchar MAX YES
ZONAS CIUDAD varchar 100 YES
